241869
20764	儜	65536	-1	3
20768	儠	65536	-1	3
20770	儢	65536	-1	3
20772	儤	65536	-1	3
20774	儦	65536	-1	3
20781	儭	65536	-1	3
20784	儰	65536	-1	3
20787	儳	65536	-1	3
20788	儴	65536	-1	3
20789	儵	65536	-1	3
20799	儿	73174	-1	1
20800	兀	65544	-1	2
20801	允	66704	-1	1
20803	元	85366	-1	1
20804	兄	68153	-1	1
20805	充	71632	-1	1
20806	兆	68308	-1	1
20808	先	87600	-1	2
20809	光	96171	-1	2
20811	克	73543	-1	1
20813	免	72716	-1	1
20817	兑	65883	-1	1
20820	兔	71012	-1	1
20821	兕	65536	-1	3
20822	兖	65540	-1	2
20826	党	87595	-1	2
20828	兜	69553	-1	1
20837	入	83399	-1	1
20840	全	102968	-1	2
20843	八	107003	-1	2
20844	公	106398	-1	1
20845	六	110026	-1	2
20848	兰	72738	-1	1
20849	共	88055	-1	2
20851	关	85614	-1	2
20852	兴	73990	-1	1
20853	兵	85395	-1	2
20854	其	73073	-1	1
20855	具	72651	-1	1
20856	典	70773	-1	1
20857	兹	65548	-1	1
20859	养	80404	-1	1
20860	兼	69634	-1	1
20861	兽	72336	-1	1
20864	冀	69707	-1	2
20869	内	108636	-1	2
20871	冇	65536	-1	3
20872	冈	69464	-1	1
20873	冉	72349	-1	1
20876	册	69851	-1	1
20877	再	82329	-1	2
20879	冏	65536	-1	3
20881	冑	65536	-1	3
20882	冒	72144	-1	1
20883	冓	65536	-1	3
20887	冗	73033	-1	2
20889	写	78583	-1	1
20891	军	99616	-1	2
20892	农	101075	-1	1
20894	冞	65536	-1	3
20896	冠	78637	-1	1
20900	冤	80901	-1	1
20901	冥	72807	-1	1
20908	冬	89233	-1	1
20912	冰	101933	-1	2
20914	冲	82159	-1	1
20915	决	75786	-1	1
20917	况	73866	-1	1
20918	冶	65703	-1	1
20919	冷	93799	-1	2
20923	冻	72980	-1	1
20925	冽	65536	-1	3
20928	净	85686	-1	2
20932	凄	75592	-1	2
20934	准	84922	-1	2
20936	凈	65536	-1	3
20937	凉	76008	-1	2
20939	凋	68029	-1	1
20940	凌	73920	-1	1
20943	减	78403	-1	1
20945	凑	70024	-1	1
20948	凔	65536	-1	3
20951	凗	65536	-1	3
20952	凘	65536	-1	3
20955	凛	73081	-1	2
20957	凝	75551	-1	1
20960	几	118069	-1	2
20961	凡	80250	-1	2
20964	凤	75448	-1	1
20971	凫	65536	-1	3
20973	凭	73129	-1	1
20975	凯	66678	-1	1
20979	凳	70772	-1	1
20981	凵	65536	-1	3
20982	凶	82613	-1	2
20984	凸	77267	-1	2
20985	凹	73457	-1	2
20986	出	103719	-1	1
20987	击	73411	-1	1
20989	函	74097	-1	2
20991	凿	70924	-1	1
20992	刀	88396	-1	2
20993	刁	70173	-1	2
20995	刃	73479	-1	1
20998	分	113426	-1	1
20999	切	87989	-1	1
21002	刊	73816	-1	1
21005	刍	65536	-1	3
21006	刎	65536	-1	3
21009	刑	80301	-1	2
21010	划	75534	-1	1
21011	刓	65536	-1	3
21014	刖	65536	-1	3
21015	列	76741	-1	1
21016	刘	73887	-1	1
21017	则	65536	-1	3
21018	刚	84591	-1	2
21019	创	85507	-1	1
21020	刜	65536	-1	3
21021	初	94993	-1	2
21022	刞	65536	-1	3
21024	删	65546	-1	1
21025	刡	65536	-1	3
21028	判	74590	-1	1
21032	刨	74362	-1	1
21033	利	88732	-1	2
21035	别	80636	-1	2
21037	刭	65536	-1	3
21038	刮	74026	-1	1
21040	到	75100	-1	1
21043	刳	65536	-1	3
21046	制	92184	-1	1
21047	刷	73968	-1	1
21048	券	65556	-1	1
21049	刹	65584	-1	1
21050	刺	78824	-1	1
21051	刻	77702	-1	1
21053	刽	65536	-1	3
21055	刿	65536	-1	3
21058	剂	73719	-1	1
21059	剃	74042	-1	1
21065	剉	65536	-1	3
21066	削	72321	-1	1
21069	前	108888	-1	2
21070	剎	65536	-1	3
21073	剑	68910	-1	2
21074	剒	65536	-1	3
21076	剔	71116	-1	1
21077	剕	65536	-1	3
21078	剖	71874	-1	1
21082	剚	65536	-1	3
21087	剟	65536	-1	3
21090	剢	65536	-1	3
21093	剥	74255	-1	1
21095	剧	80107	-1	2
21097	剩	75015	-1	1
21098	剪	79698	-1	1
21103	副	89362	-1	2
21106	割	69964	-1	1
21112	剸	65536	-1	3
21114	剺	65536	-1	3
21115	剻	65536	-1	3
21116	剼	65536	-1	3
21117	剽	70665	-1	2
21128	劈	75460	-1	1
21131	劋	65536	-1	3
21139	劓	65536	-1	3
21142	劖	65536	-1	3
21144	劘	65536	-1	3
21145	劙	65536	-1	3
21147	力	84828	-1	2
21149	劝	65541	-1	1
21150	办	76832	-1	1
21151	功	85130	-1	2
21152	加	95149	-1	1
21153	务	72230	-1	1
21154	劢	65536	-1	3
21155	劣	74561	-1	2
21158	劦	65536	-1	3
21160	动	92325	-1	1
21161	助	88367	-1	1
21162	努	74652	-1	1
21163	劫	75206	-1	1
21164	劬	65536	-1	3
21169	励	71277	-1	1
21170	劲	75019	-1	2
21171	劳	86541	-1	1
21179	劻	65536	-1	3
21180	劼	65536	-1	3
21182	劾	65536	-1	3
21183	势	82109	-1	1
21187	勃	75108	-1	2
21191	勇	73604	-1	2
21193	勉	71777	-1	1
21195	勋	76184	-1	1
21202	勒	71938	-1	1
21206	勖	65536	-1	3
21208	勘	72777	-1	1
21215	募	75322	-1	1
21220	勤	80331	-1	2
21227	勫	65536	-1	3
21231	勯	65536	-1	3
21242	勺	75382	-1	1
21246	勾	71786	-1	1
21247	勿	71647	-1	2
21248	匀	75580	-1	2
21253	包	90691	-1	1
21254	匆	75798	-1	1
21256	匈	65536	-1	3
21259	匋	65536	-1	3
21261	匍	74955	-1	2
21269	匕	65542	-1	2
21270	化	85216	-1	1
21271	北	95552	-1	2
21273	匙	74917	-1	1
21274	匚	65536	-1	3
21277	匝	70347	-1	1
21280	匠	71801	-1	1
21281	匡	71112	-1	1
21283	匣	72954	-1	2
21286	匦	65536	-1	3
21290	匪	76199	-1	2
21305	匹	73508	-1	1
21306	区	88410	-1	2
21307	医	91721	-1	1
21308	匼	65536	-1	3
21309	匽	65536	-1	3
21310	匾	67129	-1	2
21311	匿	74871	-1	1
21313	十	122283	-1	2
21315	千	122800	-1	2
21317	卅	77285	-1	2
21319	升	84681	-1	1
21320	午	73697	-1	1
21322	半	124371	-1	2
21324	卌	65536	-1	3
21325	卍	65536	-1	3
21326	华	90454	-1	2
21327	协	84145	-1	1
21329	卑	78785	-1	2
21331	卓	68941	-1	2
21333	单	124906	-1	2
21334	卖	84161	-1	1
21335	南	99182	-1	2
21338	博	79081	-1	2
21340	卜	65537	-1	1
21343	卟	75970	-1	1
21344	占	78558	-1	1
21345	卡	82193	-1	2
21346	卢	74706	-1	2
21347	卣	65536	-1	3
21348	卤	78643	-1	2
21350	卦	65536	-1	3
21351	卧	79893	-1	1
21355	卫	78767	-1	1
21356	卬	65536	-1	3
21358	卮	65536	-1	3
21359	卯	72603	-1	1
21360	印	96859	-1	2
21361	危	84520	-1	2
21363	即	85620	-1	1
21364	却	72632	-1	2
21365	卵	85266	-1	2
21367	卷	90242	-1	1
21368	卸	65579	-1	1
21370	卺	65536	-1	3
21378	厂	85080	-1	2
21380	厄	67148	-1	2
21381	厅	76739	-1	2
21382	历	86290	-1	1
21385	厉	76268	-1	2
21387	压	81234	-1	1
21388	厌	71422	-1	1
21389	厍	65536	-1	3
21396	厔	65536	-1	3
21397	厕	73961	-1	1
21398	厖	65536	-1	3
21399	厗	65536	-1	3
